Seed,Task,Model,Popsize,Generations,Mutation_rate,Selection_strength,adaptation_rate,richness,variance
2,141,Equal,500,2000,1e-05,0.1,0.001386,1.45454545454545,0.0499442178217822
2,142,Equal,1000,4000,1e-05,0.1,0.003315,2.68181818181818,0.339988871287129
2,143,Equal,2500,10000,1e-05,0.1,0.0036312,2.95454545454545,0.373675303762376
2,144,Equal,5000,20000,1e-05,0.1,0.004354,4.59090909090909,0.613869569306931
2,145,Equal,7500,30000,1e-05,0.1,0.005148,5.27272727272727,0.967617024752475
2,146,Equal,10000,40000,1e-05,0.1,0.00524885,6.31818181818182,1.20700160891089
2,147,Equal,25000,1e+05,1e-05,0.1,0.00603248,11.5909090909091,3.19183188118812
2,148,Equal,50000,2e+05,1e-05,0.1,0.0060006,15.8636363636364,6.03419262376238
2,149,Equal,75000,3e+05,1e-05,0.1,0.00608506666666666,21.5454545454545,9.02136801980198
2,150,Equal,1e+05,4e+05,1e-05,0.1,0.0061311,24.3636363636364,12.0562836633663
2,151,Equal,500,2000,1e-05,0.1,0.001,1.81818181818182,0.127166079207921
2,152,Equal,1000,4000,1e-05,0.1,0.0021295,2.40909090909091,0.250604801980198
2,153,Equal,2500,10000,1e-05,0.1,0.0029078,3.09090909090909,0.322871992277228
2,154,Equal,5000,20000,1e-05,0.1,0.0044381,4.18181818181818,0.70848095049505
2,155,Equal,7500,30000,1e-05,0.1,0.00537513333333333,6.13636363636364,1.08016048019802
2,156,Equal,10000,40000,1e-05,0.1,0.005205,6.27272727272727,1.16774975247525
2,157,Equal,25000,1e+05,1e-05,0.1,0.00547068,10.6818181818182,2.80263886138614
2,158,Equal,50000,2e+05,1e-05,0.1,0.0059596,16.9090909090909,5.91193257425743
2,159,Equal,75000,3e+05,1e-05,0.1,0.00609606666666667,20.8181818181818,9.23359079207921
2,160,Equal,1e+05,4e+05,1e-05,0.1,0.0062655,26.4090909090909,12.5022749504951
2,161,Equal,500,2000,1e-05,0.1,5.20000000000067e-05,1.13636363636364,0.00582942574257426
2,162,Equal,1000,4000,1e-05,0.1,0.0015,1.59090909090909,0.120711767326733
2,163,Equal,2500,10000,1e-05,0.1,0.0029248,3.31818181818182,0.36230879009901
2,164,Equal,5000,20000,1e-05,0.1,0.0045098,4.31818181818182,0.692182841584159
2,165,Equal,7500,30000,1e-05,0.1,0.0049188,5.59090909090909,0.915044267326733
2,166,Equal,10000,40000,1e-05,0.1,0.005476,7,1.29377334158416
2,167,Equal,25000,1e+05,1e-05,0.1,0.00578798,10.9090909090909,2.94328356435644
2,168,Equal,50000,2e+05,1e-05,0.1,0.0059422,16.9090909090909,6.06417321782178
2,169,Equal,75000,3e+05,1e-05,0.1,0.00614753333333333,21.2272727272727,9.13087143564356
2,170,Equal,1e+05,4e+05,1e-05,0.1,0.0060977,25.0909090909091,11.9011024752475
2,171,Equal,500,2000,1e-05,0.1,0.001,1.86363636363636,0.154615188118812
2,172,Equal,1000,4000,1e-05,0.1,0.0017015,2.13636363636364,0.181786638613861
2,173,Equal,2500,10000,1e-05,0.1,0.0025596,3.09090909090909,0.305648751485149
2,174,Equal,5000,20000,1e-05,0.1,0.0047605,4.68181818181818,0.738585346534654
2,175,Equal,7500,30000,1e-05,0.1,0.00490513333333333,5.72727272727273,0.953728534653465
2,176,Equal,10000,40000,1e-05,0.1,0.0057882,6.90909090909091,1.38343568316832
2,177,Equal,25000,1e+05,1e-05,0.1,0.00600358,11.7727272727273,3.16162034653465
2,178,Equal,50000,2e+05,1e-05,0.1,0.0060756,16.2727272727273,6.07758430693069
2,179,Equal,75000,3e+05,1e-05,0.1,0.0062178,21.5454545454545,9.22458148514852
2,180,Equal,1e+05,4e+05,1e-05,0.1,0.00597035,26.5454545454546,11.9401293564356
